datetime,open,high,low,close,volume
2023-01-03,446.0,453.5,443.0,453.0,15311364.0
2023-01-04,449.5,455.0,448.5,449.5,20626874.0
2023-01-05,459.0,459.5,455.0,458.5,23972099.0
2023-01-06,455.0,459.5,455.0,458.5,21313593.0
2023-01-09,468.0,481.0,467.5,481.0,49186355.0
2023-01-10,486.0,487.0,483.0,486.0,34785370.0
2023-01-11,487.0,488.0,482.0,484.5,21749124.0
2023-01-12,487.5,488.0,484.0,486.5,22416984.0
2023-01-13,507.0,509.0,499.0,500.0,81848755.0
2023-01-16,506.0,508.0,503.0,505.0,38781925.0
2023-01-17,504.0,504.0,499.5,503.0,29443522.0
2023-01-30,542.0,543.0,534.0,543.0,148413161.0
2023-01-31,537.0,538.0,521.0,522.0,79212272.0
2023-02-01,532.0,533.0,522.0,530.0,42539626.0
2023-02-02,538.0,542.0,537.0,540.0,46523592.0
2023-02-03,540.0,542.0,536.0,542.0,34156234.0
2023-02-06,532.0,533.0,526.0,526.0,32208918.0
2023-02-07,524.0,528.0,522.0,523.0,24362116.0
2023-02-08,538.0,540.0,534.0,540.0,37633169.0
2023-02-09,540.0,540.0,536.0,540.0,22311345.0
2023-02-10,544.0,546.0,541.0,545.0,30445088.0
2023-02-13,544.0,544.0,538.0,541.0,23903151.0
2023-02-14,544.0,546.0,543.0,545.0,23855974.0
2023-02-15,526.0,532.0,522.0,525.0,66068713.0
2023-02-16,528.0,531.0,524.0,528.0,33509968.0
2023-02-17,524.0,524.0,516.0,518.0,29673053.0
2023-02-20,514.0,519.0,511.0,517.0,21181235.0
2023-02-21,515.0,517.0,513.0,516.0,15097509.0
2023-02-22,506.0,509.0,505.0,507.0,26578867.0
2023-02-23,512.0,521.0,510.0,518.0,26801677.0
2023-02-24,524.0,525.0,511.0,511.0,48372303.0
2023-03-01,504.0,522.0,504.0,522.0,45971058.0
2023-03-02,519.0,520.0,515.0,519.0,18017085.0
2023-03-03,524.0,525.0,516.0,516.0,24117189.0
2023-03-06,520.0,524.0,517.0,521.0,24741125.0
2023-03-07,521.0,526.0,519.0,524.0,27650283.0
2023-03-08,521.0,523.0,518.0,521.0,27077587.0
2023-03-09,525.0,526.0,522.0,522.0,25639391.0
2023-03-10,515.0,516.0,511.0,513.0,25572403.0
2023-03-13,513.0,518.0,509.0,516.0,22568740.0
2023-03-14,511.0,514.0,510.0,510.0,26599476.0
2023-03-15,515.0,516.0,510.0,511.0,24080361.0
2023-03-16,505.0,510.0,504.0,505.0,23325664.0
2023-03-17,516.0,518.0,513.0,518.0,35872881.0
2023-03-20,517.0,518.0,510.0,512.0,12752221.0
2023-03-21,515.0,517.0,512.0,517.0,18519120.0
2023-03-22,524.0,533.0,524.0,533.0,45681056.0
2023-03-23,528.0,539.0,528.0,538.0,28614856.0
2023-03-24,536.0,539.0,535.0,539.0,22963771.0
2023-03-27,533.0,536.0,531.0,531.0,17170557.0
2023-03-28,525.0,530.0,524.0,525.0,18327556.0
2023-03-29,533.0,533.0,525.0,530.0,17620195.0
2023-03-30,536.0,537.0,531.0,535.0,20380650.0
2023-03-31,538.0,538.0,532.0,533.0,24324776.0
2023-04-06,530.0,531.0,526.0,530.0,26706549.0
2023-04-07,535.0,535.0,529.0,531.0,11114272.0
2023-04-10,533.0,533.0,528.0,529.0,8203168.0
2023-04-11,522.0,527.0,522.0,524.0,23087326.0
2023-04-12,523.0,524.0,517.0,520.0,24772925.0
2023-04-13,515.0,517.0,510.0,510.0,27501436.0
2023-04-14,516.0,520.0,513.0,516.0,21174653.0
2023-04-17,519.0,520.0,514.0,520.0,17895837.0
2023-04-18,518.0,520.0,514.0,515.0,15687059.0
2023-04-19,517.0,518.0,509.0,510.0,23209923.0
2023-04-20,512.0,516.0,510.0,513.0,21002685.0
2023-04-21,520.0,520.0,510.0,511.0,25440179.0
2023-04-24,505.0,510.0,504.0,507.0,17579661.0
2023-04-25,504.0,505.0,498.0,498.0,40916105.0
2023-04-26,498.0,498.5,491.0,491.5,33174539.0
2023-04-27,491.0,495.0,489.0,493.5,34149043.0
2023-04-28,498.5,502.0,498.0,502.0,38812949.0
2023-05-02,500.0,502.0,496.5,501.0,17142380.0
2023-05-03,496.0,498.0,495.0,496.0,12694698.0
2023-05-04,497.0,499.5,496.0,498.0,13699933.0
2023-05-05,500.0,502.0,498.5,500.0,7898012.0
2023-05-08,509.0,509.0,502.0,504.0,11737287.0
2023-05-09,507.0,510.0,505.0,510.0,18762778.0
2023-05-10,508.0,508.0,500.0,503.0,19385820.0
2023-05-11,506.0,506.0,498.5,499.0,13775130.0
2023-05-12,496.0,500.0,495.0,496.0,20746928.0
2023-05-15,497.0,499.5,494.5,495.5,15548031.0
2023-05-16,503.0,508.0,500.0,505.0,24052785.0
2023-05-17,508.0,521.0,506.0,519.0,44352410.0
2023-05-18,533.0,536.0,526.0,530.0,46107848.0
2023-05-19,535.0,535.0,529.0,532.0,34742592.0
2023-05-22,532.0,533.0,529.0,531.0,19037508.0
2023-05-23,530.0,531.0,525.0,530.0,20126817.0
2023-05-24,527.0,528.0,524.0,525.0,22621221.0
2023-05-25,542.0,545.0,537.0,543.0,68360924.0
2023-05-26,568.0,568.0,563.0,566.0,104924623.0
2023-05-29,574.0,574.0,564.0,568.0,58813792.0
2023-05-30,566.0,568.0,563.0,566.0,47490594.0
2023-05-31,560.0,562.0,551.0,558.0,90675529.0
2023-06-01,550.0,554.0,550.0,551.0,25257673.0
2023-06-02,559.0,564.0,557.0,562.0,34705102.0
2023-06-05,560.0,560.0,555.0,555.0,17483804.0
2023-06-06,554.0,562.0,553.0,560.0,21562088.0
2023-06-07,561.0,568.0,560.0,568.0,29091913.0
2023-06-08,562.0,568.0,555.0,559.0,25250687.0
2023-06-09,561.0,566.0,561.0,565.0,19776199.0
2023-06-12,574.0,574.0,571.0,574.0,28656646.0
2023-06-13,593.0,594.0,589.0,593.0,62671781.0
2023-06-14,590.0,591.0,587.0,590.0,25981992.0
2023-06-15,590.0,593.0,587.0,591.0,29868798.0
2023-06-16,590.0,590.0,584.0,589.0,41560389.0
2023-06-19,583.0,585.0,582.0,583.0,14883308.0
