datetime,open,high,low,close,volume
2019-01-02,226.5,226.5,219.0,219.5,32900482.0
2019-01-03,214.0,218.0,214.0,215.5,34615620.0
2019-01-04,211.5,211.5,206.5,208.0,67043521.0
2019-01-07,212.0,214.0,211.0,213.0,35695176.0
2019-01-08,212.0,212.5,210.0,211.0,23794481.0
2019-01-09,212.0,216.5,211.0,215.5,51255446.0
2019-01-10,216.0,216.5,214.5,216.0,20832593.0
2019-01-11,219.0,220.5,218.0,220.5,28658288.0
2019-01-14,218.5,220.0,217.0,218.5,17612296.0
2019-01-15,216.5,221.0,215.5,221.0,42990923.0
2019-01-16,218.5,220.0,217.5,217.5,30038282.0
2019-01-17,218.0,221.0,218.0,220.5,21163986.0
2019-01-18,219.0,220.0,217.5,218.5,52677569.0
2019-01-21,220.0,223.0,220.0,221.0,32515866.0
2019-01-22,220.0,223.0,219.0,223.0,30958483.0
2019-01-23,221.5,222.0,220.0,220.5,18671213.0
2019-01-24,222.5,222.5,220.5,222.5,31348924.0
2019-01-25,226.5,227.0,225.0,226.0,48039764.0
2019-01-28,229.5,229.5,228.0,229.0,29134257.0
2019-01-29,222.5,225.0,222.0,222.5,42566520.0
2019-01-30,220.5,221.5,220.0,221.0,51889945.0
2019-02-11,228.0,229.0,226.5,228.0,81360106.0
2019-02-12,230.0,230.0,229.0,230.0,30125670.0
2019-02-13,232.0,232.0,228.5,229.0,28634925.0
2019-02-14,229.5,230.0,226.0,227.0,23647751.0
2019-02-15,229.0,229.0,226.5,227.0,22369799.0
2019-02-18,229.0,230.5,228.5,230.0,18163916.0
2019-02-19,230.0,230.5,229.0,229.0,18423023.0
2019-02-20,231.5,234.5,231.0,234.5,31887710.0
2019-02-21,235.5,236.5,234.5,236.5,34013489.0
2019-02-22,235.5,236.5,234.0,236.5,22032163.0
2019-02-25,237.5,239.0,236.0,238.0,25227138.0
2019-02-26,239.0,240.0,236.5,239.5,24586789.0
2019-02-27,238.5,239.5,237.0,239.0,37947889.0
2019-03-04,239.5,239.5,234.5,235.5,45164513.0
2019-03-05,234.0,234.5,232.5,233.0,23708407.0
2019-03-06,235.0,235.5,233.5,234.0,20811226.0
2019-03-07,235.0,235.0,233.0,234.0,17226192.0
2019-03-08,231.0,231.5,229.0,230.0,22535659.0
2019-03-11,228.0,230.5,227.5,230.5,34282793.0
2019-03-12,233.0,237.0,232.5,235.5,23839972.0
2019-03-13,234.0,237.0,234.0,237.0,22493195.0
2019-03-14,239.0,239.0,234.0,234.5,17281356.0
2019-03-15,237.0,239.5,235.5,239.0,34542729.0
2019-03-18,239.5,241.0,239.0,241.0,27040532.0
2019-03-19,239.0,240.5,238.0,240.5,14620009.0
2019-03-20,242.0,242.0,239.5,242.0,23055971.0
2019-03-21,242.5,245.5,241.0,245.5,27514502.0
2019-03-22,248.0,248.5,244.5,248.5,22996467.0
2019-03-25,240.5,243.5,240.5,241.5,19273254.0
2019-03-26,243.0,244.0,241.0,244.0,21053170.0
2019-03-27,242.0,242.5,240.5,241.5,23622089.0
2019-03-28,240.5,242.5,240.0,242.0,13998054.0
2019-03-29,243.0,245.5,240.5,245.5,31024810.0
2019-04-01,251.0,251.0,245.0,245.5,35330656.0
2019-04-02,249.5,249.5,246.0,246.0,25189053.0
2019-04-03,249.0,249.0,246.5,246.5,28581323.0
2019-04-08,251.0,253.0,250.5,253.0,46426821.0
2019-04-09,253.0,254.0,252.0,254.0,22745674.0
2019-04-10,253.0,254.5,252.0,254.0,33174934.0
2019-04-11,253.0,254.0,251.5,252.0,25146840.0
2019-04-12,251.5,253.0,251.0,252.0,13888148.0
2019-04-15,255.0,256.0,254.0,255.5,17257002.0
2019-04-16,257.0,257.0,255.5,257.0,20231648.0
2019-04-17,260.0,263.0,259.5,261.5,39037191.0
2019-04-18,264.0,266.0,263.5,264.5,48525490.0
2019-04-19,269.0,269.5,263.5,264.5,47698699.0
2019-04-22,266.5,267.5,265.0,266.0,24967393.0
2019-04-23,266.5,268.0,266.0,268.0,26251847.0
2019-04-24,270.0,270.0,267.5,269.0,37386755.0
2019-04-25,268.5,269.0,267.0,267.5,36572455.0
2019-04-26,262.0,263.0,257.5,260.0,51743804.0
2019-04-29,260.0,262.0,258.5,259.5,32651618.0
2019-04-30,260.0,260.5,258.0,259.0,40446419.0
2019-05-02,261.5,262.5,258.5,259.0,27376394.0
2019-05-03,262.0,265.0,260.5,265.0,30200246.0
2019-05-06,260.0,260.0,258.0,259.0,33688187.0
2019-05-07,259.5,263.0,259.0,262.5,25686126.0
2019-05-08,260.0,261.5,259.5,260.0,25902364.0
2019-05-09,259.5,259.5,256.0,256.5,34166574.0
2019-05-10,257.0,259.0,255.0,256.0,18868212.0
2019-05-13,253.0,254.0,249.5,250.5,29317535.0
2019-05-14,247.5,251.0,245.0,248.5,45620708.0
2019-05-15,251.0,252.0,249.0,249.0,37223479.0
2019-05-16,248.5,249.5,246.0,247.0,30331519.0
2019-05-17,249.0,249.0,241.5,241.5,40006856.0
2019-05-20,242.5,243.0,238.0,238.0,47097661.0
2019-05-21,233.5,236.0,232.5,234.0,82872775.0
2019-05-22,236.5,240.5,235.5,238.0,36289034.0
2019-05-23,233.5,233.5,230.0,230.0,62258627.0
2019-05-24,230.0,234.0,230.0,233.0,38226789.0
2019-05-27,234.0,235.0,231.0,231.0,37447033.0
2019-05-28,232.0,232.0,230.5,230.5,99322033.0
2019-05-29,228.0,230.5,227.0,229.5,32260236.0
2019-05-30,230.0,231.5,229.0,231.0,40375328.0
2019-05-31,232.0,237.5,231.0,235.5,49163217.0
2019-06-03,235.5,238.5,232.0,238.0,36687092.0
2019-06-04,237.5,238.0,233.0,233.0,24443428.0
2019-06-05,238.0,238.0,234.0,235.0,35901584.0
2019-06-06,231.5,232.0,229.5,232.0,34651731.0
2019-06-10,237.5,240.0,234.5,240.0,35521888.0
2019-06-11,240.0,246.0,239.0,244.5,34691670.0
2019-06-12,244.5,247.5,243.0,246.0,30409556.0
2019-06-13,242.5,244.0,240.0,240.0,33731724.0
2019-06-14,238.5,239.5,236.0,236.0,35403556.0
2019-06-17,231.5,235.0,230.5,233.0,51692012.0
2019-06-18,234.0,235.5,233.0,235.5,28798087.0
2019-06-19,242.5,244.0,240.5,244.0,50234372.0
2019-06-20,242.0,245.5,241.0,245.0,39717291.0
2019-06-21,248.0,248.5,246.0,248.5,62136304.0
2019-06-24,241.0,242.0,240.0,241.0,43460507.0
2019-06-25,241.0,241.5,237.0,238.5,29735283.0
2019-06-26,235.0,236.5,234.0,234.5,28770041.0
2019-06-27,236.0,241.5,236.0,240.5,42007834.0
2019-06-28,241.5,241.5,238.0,239.0,28085212.0
2019-07-01,245.5,250.0,245.0,248.5,66370875.0
2019-07-02,249.5,250.0,247.5,249.0,26832202.0
2019-07-03,244.0,245.0,242.0,242.5,29549774.0
2019-07-04,244.5,245.0,242.5,244.0,18691240.0
2019-07-05,244.5,245.0,241.5,243.0,27317074.0
2019-07-08,240.0,244.5,240.0,242.5,29190909.0
2019-07-09,241.5,243.0,240.5,242.0,16538987.0
2019-07-10,243.0,247.0,243.0,247.0,23812131.0
2019-07-11,250.0,250.0,247.5,250.0,31296289.0
2019-07-12,252.0,252.0,249.5,250.5,23868432.0
2019-07-15,251.0,254.5,249.5,254.5,34264300.0
2019-07-16,254.0,256.5,253.5,256.0,26141249.0
2019-07-17,254.0,254.0,251.0,252.0,34346648.0
2019-07-18,252.0,254.5,251.5,254.0,20908575.0
2019-07-19,259.5,261.0,259.0,259.0,59879798.0
2019-07-22,263.0,264.0,262.0,264.0,31863639.0
2019-07-23,265.5,266.5,262.5,264.0,29273223.0
2019-07-24,266.5,266.5,263.0,265.0,24511039.0
2019-07-25,264.0,265.0,261.5,265.0,30698545.0
2019-07-26,261.0,262.5,261.0,261.0,20768071.0
2019-07-29,260.0,262.0,259.5,261.0,18473320.0
2019-07-30,262.5,263.0,260.0,260.0,22895612.0
2019-07-31,260.0,260.0,257.0,259.5,36365601.0
