datetime,open,high,low,close,volume
2018-01-02,231.5,232.5,231.0,232.5,18055269.0
2018-01-03,236.0,238.0,235.5,237.0,31706091.0
2018-01-04,240.0,240.0,236.5,239.5,29179613.0
2018-01-05,240.0,240.0,238.0,240.0,23721255.0
2018-01-08,242.0,242.5,240.5,242.0,21846692.0
2018-01-09,242.0,242.0,239.5,242.0,19043123.0
2018-01-10,241.5,242.0,236.0,236.5,25716220.0
2018-01-11,235.0,236.0,232.5,235.0,32070338.0
2018-01-12,234.5,238.0,233.5,237.0,23141291.0
2018-01-15,240.0,240.0,238.0,240.0,28576533.0
2018-01-16,240.0,240.5,238.0,240.5,23407632.0
2018-01-17,240.5,243.0,239.0,242.0,38118119.0
2018-01-18,245.0,250.0,245.0,248.5,50119952.0
2018-01-19,253.5,255.5,251.5,255.5,55061292.0
2018-01-22,257.5,262.0,257.0,261.5,45907509.0
2018-01-23,262.5,266.0,262.5,266.0,34606444.0
2018-01-24,263.0,263.0,256.5,258.0,42600813.0
2018-01-25,258.0,264.0,256.5,258.0,46214756.0
2018-01-26,256.5,257.5,253.5,255.0,43514523.0
2018-01-29,259.0,261.5,255.0,258.5,31306234.0
2018-01-30,256.0,257.5,252.5,253.0,37410591.0
2018-01-31,253.0,257.5,252.0,255.0,45807808.0
2018-02-01,257.5,261.0,257.0,259.5,30900457.0
2018-02-02,259.0,260.0,255.0,259.5,25707560.0
2018-02-05,251.0,254.5,250.5,253.0,46554379.0
2018-02-06,242.5,243.5,234.0,239.0,104448048.0
2018-02-07,245.0,245.5,239.5,240.0,82299178.0
2018-02-08,239.5,242.0,238.0,238.5,31192550.0
2018-02-09,230.0,233.0,228.5,232.5,65939265.0
2018-02-12,235.5,237.5,235.0,236.5,42917236.0
2018-02-21,244.5,244.5,242.0,242.5,76396174.0
2018-02-22,244.0,244.0,239.0,239.5,45492993.0
2018-02-23,241.0,245.0,241.0,245.0,26985776.0
2018-02-26,247.0,247.5,245.0,246.5,36165810.0
2018-02-27,250.5,250.5,246.0,246.0,44699119.0
2018-03-01,244.0,245.0,242.0,243.0,43847984.0
2018-03-02,240.0,241.0,238.5,240.0,35289170.0
2018-03-05,242.5,243.0,240.5,241.5,27337846.0
2018-03-06,245.5,250.0,245.5,250.0,36945780.0
2018-03-07,248.0,248.5,246.0,247.0,30391219.0
2018-03-08,249.5,251.5,249.0,249.5,20645694.0
2018-03-09,250.0,251.0,248.5,250.5,22887063.0
2018-03-12,252.0,255.0,251.5,254.0,25100615.0
2018-03-13,255.5,259.0,255.0,259.0,34264883.0
2018-03-14,256.5,257.5,255.5,257.0,24254838.0
2018-03-15,258.0,258.0,255.0,255.0,19396493.0
2018-03-16,253.0,256.0,249.5,255.0,62989326.0
2018-03-19,252.5,255.5,251.0,255.0,22440766.0
2018-03-20,253.0,254.0,251.5,253.0,22335151.0
2018-03-21,255.0,255.0,251.0,252.5,32977737.0
2018-03-22,254.5,254.5,249.5,251.5,27000718.0
2018-03-23,245.0,247.0,244.0,245.0,52974390.0
2018-03-26,241.5,244.5,241.5,243.5,39487945.0
2018-03-27,248.0,251.0,247.0,251.0,31100260.0
2018-03-28,247.5,248.0,244.0,245.0,29924411.0
2018-03-29,243.0,247.0,242.5,244.0,36427345.0
2018-03-30,247.5,249.5,246.0,246.0,16996346.0
2018-03-31,247.5,249.0,246.5,247.5,3603912.0
2018-04-02,248.5,249.0,245.0,246.5,19029003.0
2018-04-03,243.0,244.5,242.0,244.0,35813944.0
2018-04-09,248.0,248.0,243.5,245.0,35465824.0
2018-04-10,244.5,249.0,243.5,245.5,25268994.0
2018-04-11,246.5,248.5,246.5,248.0,21777935.0
2018-04-12,248.5,248.5,244.0,245.0,20476657.0
2018-04-13,246.0,246.0,244.0,244.5,19946548.0
2018-04-16,243.0,244.0,242.0,243.5,21608528.0
2018-04-17,243.0,243.5,237.5,238.0,42756389.0
2018-04-18,239.5,241.5,236.5,238.0,44768048.0
2018-04-19,242.0,244.5,241.0,244.5,33230989.0
2018-04-20,228.0,231.5,228.0,229.0,129890087.0
2018-04-23,226.5,227.5,225.0,226.5,71901975.0
2018-04-24,225.0,227.5,225.0,227.0,45206892.0
2018-04-25,225.5,226.0,224.0,225.0,48975110.0
2018-04-26,225.0,225.5,221.0,222.0,48176657.0
2018-04-27,225.0,225.5,221.0,223.5,34443459.0
2018-04-30,224.5,228.0,222.5,227.0,28500789.0
2018-05-02,227.0,227.5,222.5,223.0,38436942.0
2018-05-03,221.0,222.5,220.0,220.5,33507731.0
2018-05-04,221.0,224.0,220.5,223.0,28477722.0
2018-05-07,225.0,225.5,221.5,223.5,23751759.0
2018-05-08,224.0,228.5,223.5,228.0,40324763.0
2018-05-09,228.5,232.0,228.5,229.5,35597934.0
2018-05-10,231.0,231.5,229.0,229.5,27530377.0
2018-05-11,232.0,234.0,230.5,233.0,30693910.0
2018-05-14,234.5,234.5,232.5,233.0,23577637.0
2018-05-15,233.5,234.0,229.5,230.5,23771769.0
2018-05-16,229.5,230.5,228.5,230.5,14834107.0
2018-05-17,231.0,231.5,226.5,226.5,27702737.0
2018-05-18,225.5,227.5,223.5,223.5,28187541.0
2018-05-21,225.0,230.0,225.0,229.0,16417815.0
2018-05-22,230.0,233.5,229.0,229.0,22422097.0
2018-05-23,231.5,231.5,228.5,228.5,26737899.0
2018-05-24,229.5,230.0,228.5,229.0,13450610.0
2018-05-25,228.5,229.5,228.0,228.5,16486294.0
2018-05-28,229.5,230.0,226.5,227.0,17673270.0
2018-05-29,226.5,226.5,223.5,225.0,25770776.0
2018-05-30,224.0,224.0,220.5,221.0,49667788.0
2018-05-31,221.5,224.0,220.5,224.0,96587458.0
2018-06-01,224.5,226.5,224.0,224.0,36652094.0
2018-06-04,227.5,229.0,227.0,229.0,31257480.0
2018-06-05,230.0,230.0,226.5,229.0,27714384.0
2018-06-06,229.0,230.0,227.0,230.0,30375441.0
2018-06-07,231.0,231.5,228.0,230.0,25277266.0
2018-06-08,229.0,229.0,226.0,227.0,24192851.0
2018-06-11,226.5,227.0,225.0,226.0,22028933.0
2018-06-12,225.0,229.0,224.0,229.0,30189360.0
2018-06-13,229.0,232.0,228.0,232.0,36081120.0
2018-06-14,230.0,230.0,226.5,226.5,36932041.0
2018-06-15,225.0,231.0,224.0,231.0,49506679.0
2018-06-19,225.5,226.0,224.0,225.0,61142624.0
2018-06-20,224.5,227.5,223.5,226.0,40708701.0
2018-06-21,227.5,228.0,226.0,226.5,32572707.0
2018-06-22,224.5,227.5,224.0,227.5,44211409.0
2018-06-25,220.0,220.5,218.0,218.0,49058211.0
2018-06-26,215.5,216.0,212.5,214.5,43080346.0
2018-06-27,216.0,216.0,212.5,213.0,40863414.0
2018-06-28,211.0,214.5,210.0,212.0,38816780.0
2018-06-29,212.0,217.0,212.0,216.5,36848680.0
2018-07-02,218.5,219.0,214.0,214.0,33496442.0
2018-07-03,215.5,218.0,213.5,214.5,28663220.0
2018-07-04,217.0,217.5,215.5,216.0,15359295.0
2018-07-05,214.0,215.0,213.0,214.5,18225416.0
2018-07-06,217.5,217.5,215.0,217.0,31344962.0
2018-07-09,219.5,223.0,218.5,221.5,41165793.0
2018-07-10,223.0,224.0,222.0,222.0,20196957.0
2018-07-11,220.0,220.0,218.0,220.0,19854690.0
2018-07-12,218.0,222.0,218.0,220.5,23806051.0
2018-07-13,222.5,224.5,222.5,224.5,30419311.0
2018-07-16,224.5,225.0,223.5,223.5,16107254.0
2018-07-17,222.5,223.5,221.0,221.5,22554436.0
2018-07-18,223.0,224.0,222.0,223.0,45802658.0
2018-07-19,225.5,227.0,224.5,224.5,43976216.0
2018-07-20,235.0,237.5,233.0,237.5,103652023.0
2018-07-23,239.0,245.0,238.5,241.0,52269877.0
2018-07-24,240.0,241.5,238.5,241.0,27468267.0
2018-07-25,239.0,241.0,239.0,240.5,21530312.0
2018-07-26,241.0,242.5,239.5,241.0,30856388.0
2018-07-27,242.0,244.5,241.0,244.5,27129646.0
2018-07-30,244.5,245.5,244.0,245.5,22803730.0
2018-07-31,243.5,246.0,242.0,246.0,28202542.0
2018-08-01,247.0,248.0,246.5,248.0,29777161.0
2018-08-02,249.0,249.5,243.5,244.5,22775110.0
2018-08-03,246.0,248.0,245.0,247.0,25165097.0
2018-08-06,245.0,247.0,244.0,245.5,22364568.0
2018-08-07,245.0,245.5,241.5,241.5,24352418.0
2018-08-08,245.0,247.5,244.5,247.5,24382432.0
2018-08-09,247.0,248.0,246.0,247.0,15128655.0
2018-08-10,246.5,247.0,244.5,245.0,16125492.0
2018-08-13,241.5,243.0,239.0,240.5,17881194.0
2018-08-14,245.0,245.0,242.5,243.5,17488913.0
2018-08-15,244.5,244.5,239.5,241.5,19236321.0
2018-08-16,238.0,241.5,238.0,239.0,19155966.0
